,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
66,22021,1610612742,DAL,Dallas Mavericks,0022100248,2021-11-21,DAL @ LAC,L,241,91,34,83,0.41,6,30,0.2,17,18,0.944,8,31,39,21,6,5,10,21,-6.0
67,22021,1610612742,DAL,Dallas Mavericks,0022100237,2021-11-19,DAL @ PHX,L,241,104,37,90,0.411,12,40,0.3,18,23,0.783,10,30,40,25,15,1,10,17,-8.0
68,22021,1610612742,DAL,Dallas Mavericks,0022100222,2021-11-17,DAL @ PHX,L,242,98,38,91,0.418,16,32,0.5,6,6,1.0,8,41,49,28,5,2,10,14,-7.0
69,22021,1610612742,DAL,Dallas Mavericks,0022100204,2021-11-15,DAL vs. DEN,W,242,111,45,90,0.5,14,36,0.389,7,10,0.7,10,34,44,30,7,2,8,19,10.0
70,22021,1610612742,DAL,Dallas Mavericks,0022100181,2021-11-12,DAL @ SAS,W,240,123,46,100,0.46,18,45,0.4,13,19,0.684,10,38,48,30,9,7,5,18,14.0
71,22021,1610612742,DAL,Dallas Mavericks,0022100163,2021-11-10,DAL @ CHI,L,239,107,38,83,0.458,12,33,0.364,19,24,0.792,8,35,43,23,9,4,12,16,-10.0
72,22021,1610612742,DAL,Dallas Mavericks,0022100150,2021-11-08,DAL vs. NOP,W,240,108,43,85,0.506,14,35,0.4,8,13,0.615,9,37,46,27,7,3,12,15,16.0
73,22021,1610612742,DAL,Dallas Mavericks,0022100136,2021-11-06,DAL vs. BOS,W,241,107,41,78,0.526,13,39,0.333,12,14,0.857,7,33,40,19,7,6,15,18,3.0
74,22021,1610612742,DAL,Dallas Mavericks,0022100116,2021-11-03,DAL @ SAS,W,240,109,40,93,0.43,8,34,0.235,21,29,0.724,15,41,56,21,10,4,19,23,1.0
75,22021,1610612742,DAL,Dallas Mavericks,0022100104,2021-11-02,DAL vs. MIA,L,242,110,37,84,0.44,14,42,0.333,22,31,0.71,11,30,41,17,1,3,9,21,-15.0
76,22021,1610612742,DAL,Dallas Mavericks,0022100089,2021-10-31,DAL vs. SAC,W,240,105,40,90,0.444,12,37,0.324,13,20,0.65,10,35,45,24,8,4,9,20,6.0
77,22021,1610612742,DAL,Dallas Mavericks,0022100075,2021-10-29,DAL @ DEN,L,240,75,23,78,0.295,8,37,0.216,21,27,0.778,6,30,36,14,8,3,15,17,-31.0
78,22021,1610612742,DAL,Dallas Mavericks,0022100069,2021-10-28,DAL vs. SAS,W,240,104,41,89,0.461,18,45,0.4,4,13,0.308,9,36,45,18,4,7,12,19,5.0
79,22021,1610612742,DAL,Dallas Mavericks,0022100052,2021-10-26,DAL vs. HOU,W,239,116,43,93,0.462,12,43,0.279,18,25,0.72,14,36,50,25,9,7,14,22,10.0
80,22021,1610612742,DAL,Dallas Mavericks,0022100029,2021-10-23,DAL @ TOR,W,240,103,38,91,0.418,14,42,0.333,13,18,0.722,13,37,50,24,6,6,9,22,8.0
81,22021,1610612742,DAL,Dallas Mavericks,0022100014,2021-10-21,DAL @ ATL,L,240,87,31,93,0.333,13,43,0.302,12,13,0.923,10,40,50,16,7,3,15,21,-26.0
